排名,供应商,退货率,实退数量,订单数量,退货货号数
1,闪亮达人（千百度女鞋）,3.23%,1,31,1
2,巨昊（千百度）,2.22%,1,45,1
3,莎莉波尔（伊伴女鞋）,1.96%,1,51,1
4,78小时（伊伴女鞋）,1.09%,1,92,1
5,诺曼町（千百度女鞋）,0.92%,1,109,1
6,露熙（伊伴女鞋）,0.74%,1,136,1
7,豪特（千百度女鞋）,0.63%,1,158,1
8,漫语（千百度女鞋）,0.42%,1,239,1
9,多尔美（千百度女鞋）,0.40%,1,247,1
10,红仙果（千百度女鞋）,0.40%,1,252,1
11,时家（千百度女鞋）,0.37%,2,547,2
12,巨昊鞋业（伊伴女鞋）,0.32%,2,630,2
13,敏辉（千百度女鞋）,0.30%,2,677,2
14,瓯北尚悦（千百度）,0.28%,2,717,2
15,名妡（千百度女鞋）,0.25%,1,395,1
16,阔步（千百度）,0.23%,1,426,1
17,V159（千百度女鞋）,0.22%,1,451,1
18,紫足情（千百度女鞋）,0.22%,3,1366,2
19,六米（千百度女鞋）,0.20%,4,1966,2
20,欧蕾妮（千百度女鞋）,0.20%,4,1975,3
21,蓝康（千百度女鞋）,0.19%,43,22189,4
22,秀时刻（千百度女鞋）,0.18%,1,560,1
23,瓯北皇圣（千百度）,0.18%,3,1706,3
24,十足女神（千百度女鞋）,0.17%,1,605,1
25,厉害姐姐（伊伴女鞋）,0.15%,4,2696,4
26,蒂素尚品（伊伴女鞋）,0.13%,1,755,1
27,灰度女王（千百度女鞋）,0.13%,7,5343,4
28,瓯北吉加吉（千百度）,0.13%,1,764,1
29,瑞安伯嘉（千百度）,0.13%,3,2339,1
30,友宾保罗（千百度）,0.13%,2,1594,2
31,兴朝（千百度女鞋）,0.12%,4,3260,3
32,鞋8度（千百度女鞋）,0.12%,1,817,1
33,阿依达（千百度女鞋）,0.12%,2,1660,1
34,妍旭（千百度女鞋）,0.12%,33,27940,5
35,诗妍丽（伊伴女鞋）,0.11%,2,1770,2
36,玫瑰纤紫（伊伴女鞋）,0.10%,1,957,1
37,E2E（千百度女鞋）,0.10%,1,983,1
38,步步趣（伊伴女鞋）,0.09%,1,1097,1
39,靓雅一族（千百度女鞋）,0.09%,1,1105,1
40,策谷（千百度女鞋）,0.08%,2,2428,2
41,曼若诗（千百度女鞋）,0.08%,1,1266,1
42,晟达（千百度女鞋）,0.08%,1,1284,1
43,芮格（千百度女鞋）,0.08%,2,2660,2
44,N86（千百度女鞋）,0.07%,1,1424,1
45,罗玛乔丹（千百度）,0.07%,1,1475,1
46,顺士达鞋业（千百度）,0.07%,1,1507,1
47,瓯海森奈（千百度）,0.07%,1,1538,1
48,日记（伊伴女鞋）,0.06%,1,1572,1
49,笑果（千百度女鞋）,0.06%,1,1618,1
50,超级爱（伊伴女鞋）,0.06%,1,1676,1
51,秀典（千百度女鞋）,0.06%,3,5232,3
52,靓雅一族（伊伴女鞋）,0.06%,1,1794,1
53,达芙贵人（千百度女鞋）,0.05%,1,1831,1
54,贵族前线（千百度女鞋）,0.05%,1,1883,1
55,品熙（千百度女鞋）,0.05%,1,1885,1
56,江南风（千百度女鞋）,0.05%,2,4099,2
57,木马（千百度女鞋）,0.05%,1,2067,1
58,陌拉（千百度女鞋）,0.04%,1,2460,1
59,慕可拉（伊伴女鞋）,0.04%,2,5014,2
60,江南鸟（千百度女鞋）,0.03%,2,6200,1
61,舒步佳（千百度）,0.03%,1,3159,1
62,78小时（千百度女鞋）,0.03%,1,3169,1
63,天使魅影（千百度女鞋）,0.03%,1,3376,1
64,南风公主（千百度女鞋）,0.02%,1,5157,1
65,露熙（笑脸）,,12,0,5
66,灰度女王（笑脸）,,4,0,4
67,广州昌达（笑脸）,,1,0,1
